round,colour,opponent,result,termination,init_s,moves,time_used_s,slowest_s,fastest_s,average_s,clock_left_s,machine,finished_at
Rated 73,White,slopfish,Draw,Stalemate,67.4,133,178.7,8.9,0.0,1.3,7.8,w-281221,2026-09-08T19:08:47.311405+00:00
Rated 72,Black,checkers,Draw,Threefold repetition,71.7,75,148.3,7.2,0.5,2.0,9.2,w-4079cb,2026-09-08T18:06:40.142823+00:00
Rated 71,Black,Ransom,Win,Checkmate,67.1,46,116.2,8.4,0.0,2.5,26.8,w-de0e76,2026-09-08T17:06:26.965534+00:00
Rated 70,Black,omega3 fish,Draw,Threefold repetition,63.6,45,114.5,6.1,0.9,2.5,28.0,w-1111ae,2026-09-08T16:06:40.176669+00:00
Rated 69,White,RMFE,Draw,Fifty moves,68.7,221,224.1,6.1,0.2,1.0,6.4,w-896745,2026-09-08T15:10:17.17255+00:00
Rated 68,White,Stonkfish,Draw,Fifty moves,69.5,258,241.3,4.5,0.3,0.9,7.7,w-a91dab,2026-09-08T14:11:13.31561+00:00
Rated 67,Black,pheanup,Draw,Insufficient material,71.2,63,143.4,8.3,0.3,2.3,8.1,w-14b4d5,2026-09-08T13:07:02.83632+00:00
Rated 66,White,Make_no_mistakes,Loss,Checkmate,72.8,52,129.6,6.4,0.0,2.5,16.4,w-40bf01,2026-09-08T12:06:53.147015+00:00
Rated 65,Black,omega3 fish,Draw,Threefold repetition,70.6,61,135.7,6.5,0.6,2.2,14.8,w-2118a6,2026-09-08T11:07:10.247611+00:00
Rated 64,Black,slopfish,Loss,Checkmate,67.0,76,149.0,6.4,0.0,2.0,9.0,w-a91dab,2026-09-08T10:07:54.951851+00:00
Rated 63,White,Mate in One,Draw,Threefold repetition,68.5,47,120.4,6.1,0.5,2.6,23.1,w-896745,2026-09-08T09:23:07.596312+00:00
Rated 62,White,Ryan Vincent,Draw,Threefold repetition,64.9,91,157.2,5.9,0.3,1.7,8.3,w-ee4f75,2026-09-08T08:36:25.319505+00:00
Rated 61,Black,ms,Loss,Checkmate,70.4,58,132.8,8.7,0.0,2.3,16.2,w-2118a6,2026-09-08T08:17:31.833175+00:00
Rated 60,Black,Amplifirm,Win,Checkmate,64.6,57,129.8,7.4,0.0,2.3,18.7,w-4005df,2026-09-07T21:06:39.367625+00:00
Rated 59,White,AlphaBeta,Win,Checkmate,65.9,67,134.3,5.7,0.0,2.0,19.2,w-26abaf,2026-09-07T20:06:30.385754+00:00
Rated 58,White,Danya's Disciple,Loss,Checkmate,65.5,74,146.6,7.9,0.0,2.0,10.4,w-52d6d4,2026-09-07T19:07:17.957364+00:00
Rated 57,Black,FuzzyBot,Win,Checkmate,75.6,50,122.6,7.8,0.0,2.5,22.4,w-d5b3ad,2026-09-07T18:07:12.898693+00:00
Rated 56,Black,Opus Carlsen,Win,Checkmate,76.0,75,146.1,7.3,0.0,1.9,11.4,w-77a96c,2026-09-07T17:07:33.874686+00:00
Rated 55,Black,Team1,Win,Checkmate,64.8,29,95.9,6.5,0.0,3.3,38.6,w-5fdd24,2026-09-07T16:04:40.136653+00:00
Rated 54,Black,RMFE,Draw,Insufficient material,75.6,76,147.8,6.5,0.1,1.9,10.2,w-77a96c,2026-09-07T15:07:25.442725+00:00
Rated 53,White,JSP,Win,Checkmate,65.6,52,119.0,5.6,0.0,2.3,27.0,w-7733ab,2026-09-07T14:06:05.949927+00:00
Rated 52,White,adashima,Win,Checkmate,65.7,45,119.5,7.2,0.0,2.7,23.0,w-3173e5,2026-09-07T13:06:11.509334+00:00
Rated 51,White,pgn,Win,Checkmate,80.4,55,131.7,6.6,0.0,2.4,15.8,w-69aab8,2026-09-07T12:11:36.791338+00:00
Rated 50,White,The Archer,Win,Checkmate,79.3,56,127.9,5.2,0.0,2.3,20.1,w-d5b3ad,2026-09-07T11:12:50.541083+00:00
Rated 49,White,HAL9000,Win,Checkmate,76.8,66,140.5,10.0,0.0,2.1,12.5,w-2131a2,2026-09-07T10:14:09.504218+00:00
Rated 48,Black,Finlay Phillips,Draw,Insufficient material,77.2,104,164.9,5.4,0.2,1.6,7.1,w-77a96c,2026-09-07T09:14:56.733206+00:00
Rated 47,Black,Nakamura,Win,Checkmate,70.3,51,116.3,7.6,0.0,2.3,29.2,w-52d6d4,2026-09-07T08:16:54.011166+00:00
Rated 46,Black,OctaBasilissa,Win,Checkmate,77.8,63,144.9,15.3,0.0,2.3,6.6,w-3a623b,2026-09-07T07:19:42.480878+00:00
Rated 45,White,Waterside Research,Loss,Checkmate,64.9,68,149.4,13.7,0.0,2.2,4.6,w-e13e53,2026-09-06T21:17:43.931044+00:00
Rated 44,White,Zagreus 5.0,Win,Checkmate,66.3,27,113.7,14.4,0.0,4.2,19.8,w-d354c5,2026-09-06T20:16:42.951213+00:00
Rated 43,Black,The Archer,Loss,Checkmate,66.4,43,135.9,13.2,0.0,3.2,5.6,w-efd8bb,2026-09-06T19:17:08.142711+00:00
Rated 42,Black,Sillycats,Win,Checkmate,67.8,44,135.1,11.6,0.0,3.1,6.9,w-a8a74d,2026-09-06T18:18:44.154535+00:00
Rated 41,White,Elbow Grease,Loss,Checkmate,65.5,48,139.2,12.0,0.0,2.9,4.8,w-91996f,2026-09-06T17:17:01.985181+00:00
Rated 40,White,TheROOK,Win,Checkmate,66.8,110,169.8,10.7,0.0,1.5,5.2,w-bd5cad,2026-09-06T16:20:06.481395+00:00
Rated 39,White,FableEngine,Win,Checkmate,66.4,21,105.9,11.1,0.0,5.0,24.6,w-42b8f8,2026-09-06T15:20:42.864062+00:00
Rated 38,Black,lefischer,Win,Checkmate,67.8,34,126.5,14.6,0.0,3.7,10.5,w-933051,2026-09-06T14:25:45.055961+00:00
Rated 37,Black,Martin,Win,Checkmate,66.8,32,116.9,15.7,0.0,3.7,19.1,w-3535e1,2026-09-06T13:29:01.253071+00:00
Rated 36,Black,Epoch & Mate,Win,Checkmate,69.1,25,114.8,11.9,0.0,4.6,17.7,w-03ab32,2026-09-06T12:32:17.945876+00:00
Rated 35,White,Sweat,Win,Checkmate,60.2,48,131.0,6.8,0.0,2.7,13.0,w-6272d4,2026-09-06T11:34:59.068889+00:00
Rated 34,Black,blue school baddies,Win,Checkmate,61.0,45,135.7,8.8,0.0,3.0,6.8,w-42b8f8,2026-09-06T10:36:14.08134+00:00
Rated 33,Black,Magnus Force,Win,Checkmate,56.8,36,125.8,21.3,0.0,3.5,12.2,w-7793b4,2026-09-06T09:20:29.959425+00:00
Rated 32,White,Team7347,Loss,Checkmate,68.5,94,161.5,9.2,0.0,1.7,5.5,w-f6de86,2026-09-06T08:37:51.271388+00:00
Rated 31,White,Wildcard,Draw,Stalemate,0.5,43,123.7,6.0,1.1,2.9,17.8,w-a0ddb8,2026-09-06T07:32:37.850557+00:00
Rated 30,Black,Random Mover,Win,Checkmate,0.5,11,42.9,7.9,1.5,3.9,82.6,w-8ad5f4,2026-09-05T21:28:15.326391+00:00
Rated 29,White,2sigbros,Loss,Checkmate,0.4,33,114.1,9.4,1.0,3.5,22.4,w-881195,2026-09-05T20:29:39.931856+00:00
Rated 28,Black,Shashwat,Loss,Flag,0.4,39,138.9,12.4,1.0,3.6,0.6,w-aa78ae,2026-09-05T19:25:28.770837+00:00
